host_response_time,host_response_rate,host_is_superhost,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,distance_from_syntagma
within a few hours,100%,f,38.00673,23.72775,Entire home/apt,4,1.0,2.0,45.0,4.76,3.528692935443203
within a few hours,100%,f,37.9767,23.73064,Entire home/apt,7,1.5,3.0,160.0,4.68,0.39652016120288575
,,t,37.96738,23.74038,Entire home/apt,2,1.0,1.0,50.0,4.97,1.0227311877361511
within a day,60%,f,37.98574,23.73323,Entire home/apt,4,1.0,1.0,70.0,4.73,1.1480051646567933
within a few hours,100%,f,37.96828,23.72906,Entire home/apt,3,1.0,1.0,57.0,4.77,0.9521485888550749
within an hour,100%,t,37.98729,23.74311,Entire home/apt,2,1.0,0.0,54.0,4.5,1.4954814377529724
within an hour,100%,f,37.97774,23.73,Entire home/apt,8,1.0,2.0,85.0,4.69,0.49648725052518233
within an hour,100%,t,37.96826,23.72777,Entire home/apt,2,1.0,1.0,83.0,4.92,1.0191761794313163
within an hour,100%,t,37.97665,23.7185,Entire home/apt,4,1.0,1.0,213.0,4.77,1.4431590190023276
within an hour,100%,f,37.97952,23.72999,Entire home/apt,4,1.0,1.0,84.0,4.76,0.6205012640106111
within an hour,100%,t,37.97291,23.72739,Entire home/apt,5,1.0,2.0,150.0,4.93,0.7185205390291907
,,f,37.968,23.71314,Entire home/apt,2,1.0,1.0,41.0,4.61,2.081752016419832
within an hour,100%,t,37.97277,23.72745,Entire home/apt,3,1.0,1.0,120.0,4.91,0.7201285423611092
within an hour,100%,t,37.96648,23.7276,Entire home/apt,2,1.0,1.0,74.0,4.65,1.189721209471797
within an hour,100%,t,37.97506,23.73068,Entire home/apt,3,1.0,1.0,126.0,4.83,0.37311449373624456
,,t,37.969032287597656,23.7116756439209,Entire home/apt,5,1.5,2.0,77.0,4.97,2.1590514471892783
within a few hours,100%,f,37.97538,23.73264,Entire home/apt,3,1.0,1.0,63.0,4.77,0.19854271441565796
within an hour,100%,f,38.02512,23.73536,Entire home/apt,3,1.0,1.0,48.0,4.68,5.51763948074406
within an hour,100%,f,37.97481,23.72818,Entire home/apt,2,1.0,1.0,140.0,4.89,0.5940005614077617
within an hour,100%,f,37.96825,23.72839,Entire home/apt,4,1.0,1.0,81.0,4.87,0.987690586327407
within an hour,100%,t,37.97626,23.7096,Entire home/apt,5,1.0,3.0,100.0,4.99,2.219195358133924
within a few hours,100%,f,37.96615,23.73463,Entire home/apt,4,1.0,2.0,66.0,4.77,1.0399419186654613
within an hour,100%,t,37.96341,23.72875,Entire home/apt,5,2.0,2.0,114.0,4.89,1.44841351127478
within an hour,100%,t,38.0011,23.71626,Entire home/apt,4,1.0,1.0,49.0,4.9,3.2820053749311118
within an hour,100%,t,37.97385,23.71567,Entire home/apt,4,1.0,2.0,77.0,4.78,1.6955240262218132
within an hour,100%,t,37.96286,23.71754,Entire home/apt,8,1.0,2.0,80.0,4.88,2.071527837657752
within an hour,100%,t,37.98985,23.73779,Entire home/apt,2,1.0,1.0,63.0,4.8,1.6156254670437222
within an hour,100%,t,38.01501,23.72582,Entire home/apt,4,1.0,2.0,41.0,4.82,4.464781242094211
within an hour,100%,t,38.00398,23.7319,Entire home/apt,2,1.0,1.0,45.0,4.64,3.177725750361938
within a few hours,100%,f,37.9986,23.72828,Entire home/apt,7,1.5,2.0,43.0,3.5,2.633308222107935
,,f,38.02081,23.74098,Entire home/apt,2,1.0,1.0,43.0,4.75,5.066331706046361
within an hour,90%,f,37.96215,23.72179,Entire home/apt,4,1.0,1.0,56.0,4.96,1.8773151419097454
within a few hours,100%,t,37.95523,23.72443,Entire home/apt,3,1.0,1.0,63.0,4.97,2.433638810222272
within an hour,98%,t,37.98844,23.73845,Entire home/apt,2,1.0,1.0,72.0,4.95,1.4721179784084897
within an hour,98%,t,37.98841,23.73713,Entire home/apt,3,1.0,1.0,64.0,4.93,1.4487704564050097
within a few hours,100%,f,37.99374,23.73083,Entire home/apt,6,1.5,3.0,101.0,4.91,2.059323047264559
within a few hours,100%,t,37.97911,23.74553,Entire home/apt,5,1.0,1.0,67.0,4.67,1.0145108887964678
,,,37.98857,23.7464,Entire home/apt,3,1.0,3.0,56.0,4.38,1.768618899849405
,,f,37.98599,23.71586,Entire home/apt,4,1.0,2.0,135.0,4.83,2.0360214883093466
within an hour,100%,f,37.97866,23.74252,Entire home/apt,5,1.0,2.0,99.0,4.94,0.7546839902856101
within a day,100%,t,37.97723,23.72841,Entire home/apt,4,1.5,2.0,64.0,4.69,0.6005009333757724
within an hour,100%,f,37.967319,23.735407,Entire home/apt,2,1.0,1.0,43.0,4.72,0.9107706414196886
within an hour,100%,t,37.96845,23.72873,Entire home/apt,2,1.0,1.0,110.0,4.99,0.9523887042967645
within an hour,100%,t,37.99527,23.76651,Entire home/apt,3,1.0,2.0,54.0,4.88,3.5365571515707086
within an hour,100%,f,37.97701644897461,23.728376388549805,Entire home/apt,4,,1.0,123.0,4.83,0.5961466467097924
within a few hours,100%,f,37.98394,23.73451,Entire home/apt,6,1.0,2.0,98.0,4.79,0.9391074842862662
within an hour,97%,t,37.98103,23.71538,Entire home/apt,3,1.0,1.0,124.0,4.91,1.81804940909244
within an hour,100%,t,37.9692,23.71073,Entire home/apt,2,1.0,1.0,54.0,5.0,2.231452534292808
within a few hours,100%,t,37.96525,23.73991,Entire home/apt,2,1.0,1.0,22.0,4.54,1.2214309596161061
,,f,37.98828,23.75706,Entire home/apt,2,1.0,1.0,41.0,4.57,2.406571515111735
,,f,37.97277,23.75443,Entire home/apt,4,1.0,2.0,69.0,4.09,1.7385832066499312
,,f,37.97587,23.73311,Entire home/apt,4,1.0,2.0,104.0,4.78,0.16220135438270147
within an hour,100%,t,38.01501,23.72582,Entire home/apt,6,1.0,2.0,37.0,4.89,4.464781242094211
a few days or more,0%,f,37.96694,23.7211,Entire home/apt,4,2.0,3.0,91.0,5.0,1.5392455039651294
a few days or more,0%,f,37.96685,23.72056,Private room,2,1.0,1.0,36.0,4.73,1.582779008758513
within an hour,90%,t,37.9626,23.72075,Entire home/apt,4,1.0,1.0,68.0,4.89,1.896339034495647
within an hour,100%,t,37.97865,23.74152,Entire home/apt,6,2.0,2.0,156.0,4.84,0.6777670856951841
within an hour,100%,t,37.99882,23.7185,Entire home/apt,2,1.0,1.0,85.0,4.85,2.964746472769206
within an hour,100%,t,37.97708,23.74285,Entire home/apt,2,1.5,1.0,103.0,4.93,0.71863293982353
within an hour,100%,t,37.98322,23.71017,Entire home/apt,2,1.0,1.0,72.0,4.87,2.3313178142074875
within an hour,100%,f,37.98343,23.73923,Entire home/apt,2,1.0,1.0,95.0,4.84,0.9599784215900712
within an hour,100%,t,37.97836,23.70879,Entire home/apt,6,2.0,2.0,106.0,4.88,2.3105410190450058
within an hour,100%,t,37.98894,23.73873,Entire home/apt,2,1.5,0.0,41.0,4.83,1.5316947995662054
within an hour,100%,f,37.98768,23.72126,Entire home/apt,2,1.0,1.0,53.0,4.73,1.8064981713859565
within an hour,100%,t,37.95958,23.72467,Entire home/apt,4,1.0,0.0,33.0,4.82,1.9844144691508683
within an hour,100%,t,37.98742,23.73689,Entire home/apt,2,1.0,0.0,81.0,4.9,1.3368696975001535
within an hour,100%,t,37.99433,23.74989,Private room,2,1.0,1.0,38.0,4.93,2.4718216664158073
